count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
27923,2019,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.479305,-0.50334503,3,1.86,Counted,Manual count,0,1094,165759,741,30194,6511,795,1683,484,2365,6483,18320,216108
27923,2020,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.479305,-0.50334503,3,1.86,Counted,Automatic counter,0,717,126351,472,29644,6763,831,1826,519,2619,7033,19591,176775
27923,2014,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,1040,207133,864,38449,4074,734,792,705,4219,4833,15356,262842
27923,2017,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,1583,163695,652,29261,4272,798,1058,719,7274,1747,15867,211059
27923,2007,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,979,148247,664,18270,4638,718,742,586,633,7758,15075,183235
27923,2015,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,997,163687,678,29699,5148,837,787,504,3127,5383,15786,210848
27923,2008,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,1533,170354,1049,20933,5042,1067,805,759,4413,4022,16108,209977
27923,2011,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,694,136784,427,19780,5010,1099,1071,490,2827,4404,14901,172586
27923,2000,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,1680,143362,1248,17768,5984,502,656,1745,5726,1387,16000,180058
27923,2004,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Estimated,Estimated using previous year's AADF on this link,0,997,129778,420,16793,6566,709,1054,1201,4723,2176,16429,164417
27923,2009,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,926,177853,636,18345,6673,817,1321,258,1970,4328,15367,213127
27923,2006,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,944,123459,887,16145,5276,516,626,1011,5476,2205,15110,156545
27923,2005,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Estimated,Estimated using previous year's AADF on this link,0,987,128220,467,18640,6691,705,1134,1091,4233,2359,16213,164527
27923,2002,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,1132,141626,833,17810,6333,614,875,1602,6012,1492,16928,178329
27923,2003,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,1133,130693,765,16272,6074,621,893,1198,5063,1881,15730,164593
27923,2012,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,1212,168343,708,21637,6799,902,1251,178,1899,4556,15585,207485
27923,2001,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,1205,134473,597,17421,5283,566,819,1537,5413,2303,15921,169617
27923,2018,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.479305,-0.50334503,3,1.86,Counted,Automatic counter,0,1639,168954,681,31427,4529,857,1142,750,7678,1835,16792,219492
27923,2013,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,2461,186314,1256,22484,5471,968,1018,866,1614,5133,15070,227585
27923,2016,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Estimated,Estimated using previous year's AADF on this link,0,1011,165024,665,31540,5415,819,917,517,2959,5597,16224,214462
27923,2010,6,London,66,Hillingdon,M25,Major,14,LA Boundary,504031,176656,51.47930715,-0.50334496,3,1.86,Counted,Manual count,0,1157,140012,533,20555,10942,1745,2879,22,2266,5522,23376,185633
